nome,lat,long
Miradouro da Bica da Cana - Madeira,"32,75687044","-17,0544302"
Ovil do Jangão - Madeira,"32,72416914","-17,06284046"
Cascata Nova e Moinho - Madeira ,"32,71405946","-17,08361149"
Prai da Calheta - Madeira,"32,72085654","-17,17814326"
Farol da Ponto do Pargo - Madeira,"32,81483413","-17,26290107"
Miradouro da Garganta Funda - Madeira,"32,82060469","-17,2512281"
Pico Vermelho - Madeira,"32,83070227","-17,24075675"
Miradouro do Teleférico das Achadas da Cruz - Madeira,"32,85320132","-17,21002936"
Miradouro do Ponta da Ladeira - Madeira,"32,85954618","-17,20333457"
Lagoa do Fanal - Madeira,"32,81512267","-17,14599967"
Levada da Ribeira da Janela - Madeira,"32,78998036","-17,15756536"
Museu CR7 - Madeira,"32,6444407","-16,91343752"
Cristiano Ronaldo Campus Futebol - Madeira,"32,67132198","-16,88253847"
Chão das Feiteiras - Madeira,"32,72246079","-16,88631502"
Cristo Rei - Madeira,"32,63924839","-16,85055971"
Ponta de São Lourenço - Madeira,"32,74369923","-16,70104265"
Miradouro de São Lourenço - Madeira,"32,74990753","-16,69778109"
Boca do Risco - Madeira,"32,75625977","-16,77245379"
Casas típicas de Santana - Madeira,"32,8063399","-16,88214541"
Achada do Teixeira - Madeira,"32,76593161","-16,92038298"
Poço das Pulgas - Madeira,"32,79948622","-16,99866097"
Cascata Água d'Alto - Madeira,"32,81008215","-17,05970764"
Ribeira do Inferno - Madeira,"32,81123635","-17,06640244"
Ponta do Tristão - Madeira,"32,86771091","-17,20012665"
Montanha do Pico - Ilha do Pico,"38,46955052","-28,39926124"
Moinho do Frade - Ilha do Pico,"38,51576942","-28,53424072"
Caldeira do Cabeço Gordo - Ilha do Faial,"38,58182166","-28,70693207"
Cabeço do Canto - Ilha do Faial,"38,59849294","-28,81110907"
Vulcão dos Capelinhos - Ilha do Faial,"38,60271884","-28,83131147"
Museu do Vinho do Pico - Ilha do Pico,"38,53693758","-28,51619482"
Casa dos Sofias - Ilha do Pico,"38,5293003","-28,32274318"
Parque Natural do Pico - Ilha do Pico,"38,47320444","-28,36403847"
Bomba da Prainha Rocha - Ilha do Pico,"38,45172649","-28,21196934"
Ponta do Mistério - Ilha do Pico,"38,49217965","-28,23943516"
Cabeço dos Trinta - Ilha do Faial,"38,58334807","-28,74227286"
Castel de Bragança,"41,80436699","-6,749260373"
Domus Municipalis - Bragança,"41,80350934","-6,749198231"
Centro de Arte Contemporânea Graça Morais - Bragança,"41,80616616","-6,756013827"
Museu Ibérico da Máscara e do Traje - Bragança,"41,80406203","-6,749813456"
Museu do Abade de Baçal - Bragança,"41,80575487","-6,752976987"
Centro de Fotografia Georges Dussaud - Bragança,"41,80611264","-6,75462686"
